Time,People In Lift,At Floor,Call Queue
10,,2,1_2C
20,1,1,2_1C-1_1D
30,2,9,2_9D
40,,10,3_10C
50,3,8,5_8C-4_8C-3_5D
60,3-4-5-6,5,3_5D-5_4D-6_2D-4_10D
70,4-5-6,4,5_4D-6_2D-4_10D
80,4-6,8,7_8C-8_8C-4_10D-6_2D
90,4-6-7-8,10,7_10D-4_10D-8_3D-6_2D
100,6-8,3,8_3D-6_2D-9_2C
110,6-10,2,6_2D-9_2C-10_7D
120,9-10,1,9_1D-11_6C-10_7D
130,10,6,11_6C-10_7D-12_8C
140,10-11,7,10_7D-12_8C-11_2D-13_1C
150,11,8,12_8C-14_5C-11_2D-13_1C
160,11-12,6,15_6C-14_5C-11_2D-13_1C-12_1D
170,11-12-15,5,14_5C-11_2D-13_1C-12_1D-15_8D
180,11-12-14-15,6,14_6D-15_8D-16_9C-11_2D-12_1D-13_1C
190,11-12-15,3,17_3C-11_2D-12_1D-13_1C-15_8D-16_9C
200,11-12-15-17,2,18_2C-11_2D-13_1C-12_1D-17_7D-15_8D-16_9C
210,12-15-17-18-19,1,12_1D-13_1C-18_6D-17_7D-15_8D-16_9C-19_9D
220,13-15-17-18-19,6,18_6D-17_7D-15_8D-16_9C-19_9D-13_9D
230,13-15-17-19,7,17_7D-15_8D-16_9C-19_9D-13_9D-20_3C
240,13-15-19,8,15_8D-19_9D-16_9C-13_9D-21_10C-20_3C
250,13-19,9,22_9C-13_9D-16_9C-19_9D-21_10C-23_7C-20_3C
260,16-22,10,21_10C-24_8C-23_7C-16_4D-22_4D-20_3C-25_2C
270,16-21-22,8,24_8C-23_7C-21_5D-16_4D-22_4D-20_3C-25_2C
280,16-21-22-24,7,24_7D-23_7C-26_6C-21_5D-16_4D-22_4D-20_3C-25_2C
290,16-21-22-23,6,26_6C-21_5D-16_4D-22_4D-20_3C-25_2C-23_2D-27_2C
300,16-21-22-23-26,5,26_5D-21_5D-22_4D-28_4C-16_4D-20_3C-25_2C-23_2D-27_2C
310,16-22-23,4,22_4D-28_4C-16_4D-20_3C-25_2C-23_2D-27_2C
320,23-28,3,20_3C-25_2C-23_2D-27_2C-28_8D-29_9C
330,20-23-28,2,23_2D-25_2C-27_2C-30_6C-28_8D-29_9C-20_10D
340,20-25-27-28,6,30_6C-27_7D-28_8D-25_9D-29_9C-20_10D-31_10C
350,20-25-27-28-30,7,32_7C-27_7D-28_8D-25_9D-29_9C-20_10D-31_10C-30_3D
360,20-25-28-30-32,8,28_8D-25_9D-29_9C-32_10D-31_10C-20_10D-33_4C-30_3D
370,20-25-30-32-34,9,25_9D-29_9C-31_10C-32_10D-20_10D-34_7D-33_4C-30_3D
380,20-29-30-32-34-35,10,31_10C-32_10D-35_10D-20_10D-29_7D-34_7D-33_4C-30_3D
390,29-30-31-34,7,34_7D-29_7D-36_5C-33_4C-30_3D-31_3D
400,30-31,5,36_5C-33_4C-30_3D-31_3D-37_2C
410,30-31-36-38,4,33_4C-38_4D-31_3D-36_3D-30_3D-37_2C
420,30-31-33-36,3,36_3D-31_3D-30_3D-37_2C-33_2D-39_6C
430,33-41,2,33_2D-37_2C-39_6C-40_8C-41_9D
440,37-41,4,42_4C-37_5D-39_6C-40_8C-41_9D
450,37-41-42,5,37_5D-39_6C-40_8C-41_9D-42_10D-43_10C
460,41-42,6,39_6C-44_7C-40_8C-41_9D-42_10D-43_10C
470,39-41-42,5,39_5D-45_5C-44_7C-40_8C-41_9D-42_10D-43_10C
480,41-42-45,6,46_6C-44_7C-45_7D-40_8C-41_9D-42_10D-43_10C
490,41-42-45-46-47,7,44_7C-45_7D-40_8C-47_9D-41_9D-42_10D-43_10C-46_4D
500,41-42-44-46-47,8,40_8C-41_9D-47_9D-43_10C-42_10D-48_4C-46_4D-44_3D
510,40-41-42-44-46-47,9,47_9D-41_9D-42_10D-49_10C-43_10C-48_4C-46_4D-44_3D-40_2D
520,40-42-44-46,10,42_10D-49_10C-43_10C-48_4C-46_4D-44_3D-40_2D-50_2C
530,40-43-44-46-49,7,49_7D-48_4C-46_4D-44_3D-40_2D-50_2C-43_1D
540,40-43-44-46,4,48_4C-46_4D-44_3D-40_2D-50_2C-43_1D
550,40-43-44-48,3,44_3D-40_2D-50_2C-43_1D-48_7D
560,40-43-48,2,40_2D-50_2C-43_1D-48_7D
570,43-48-50,1,43_1D-50_6D-48_7D
580,48-50,6,50_6D-48_7D
590,48,7,48_7D
